subtest,cell,arc,lut,side,q,expected,got,rel_jump
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.04145158,0.23702679127678972,0.23702679127678972,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.045479359999999996,0.23754161899244253,0.23754161899244253,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.04950714,0.2380564467080953,0.2380564467080953,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.05353492,0.23857127442374812,0.23857127442374812,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.057562699999999994,0.2390861021394009,0.2390861021394009,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.061590479999999996,0.2396009298550537,0.2396009298550537,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.06561826,0.2401157575707065,0.24011575757070652,1.1559247879621467e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.06964603999999999,0.2406305852863593,0.2406305852863593,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.07367382,0.2411454130020121,0.2411454130020121,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.0777016,0.2416602407176649,0.2416602407176649,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.08172938,0.24193759483866256,0.24193759483866256,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.08575716,0.24219178257178778,0.24219178257178775,1.1460164057135966e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.08978494,0.242445970304913,0.242445970304913,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.09381272,0.2427001580380382,0.24270015803803824,1.1436158855437912e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.0978405,0.2429543457711634,0.2429543457711634,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.10186827999999999,0.24320853350428862,0.24320853350428862,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.10589606,0.24346272123741383,0.24346272123741386,1.1400339022976307e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.10992384,0.24371690897053905,0.24371690897053905,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.11395161999999999,0.24397109670366426,0.24397109670366426,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.1179794,0.24422528443678948,0.24422528443678948,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.12200717999999999,0.2444794721699147,0.24447947216991472,1.1352926840556422e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.12603496,0.2447336599030399,0.2447336599030399,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.13006274,0.24498784763616513,0.24498784763616513,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.13409052000000002,0.24508552743389722,0.24508552743389722,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.1381183,0.24518249446927864,0.24518249446927864,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.14214608,0.24527946150466007,0.24527946150466007,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.14617386000000002,0.2453764285400415,0.2453764285400415,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.15020164,0.24547339557542291,0.24547339557542291,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.15422942,0.24557036261080434,0.24557036261080434,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.15825720000000001,0.24566732964618576,0.2456673296461858,1.1298032854267991e-16
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.16228498000000002,0.24576429668156718,0.24576429668156718,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.16631276,0.2458612637169486,0.2458612637169486,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.17034054,0.24595823075233003,0.24595823075233003,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.17436832000000002,0.24605519778771145,0.24605519778771145,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.1783961,0.24615216482309288,0.24615216482309288,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.18242388,0.2462491318584743,0.2462491318584743,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.18645166000000002,0.24634609889385573,0.24634609889385573,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.19047944,0.24644306592923715,0.24644306592923715,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.19450722,0.24654003296461857,0.24654003296461857,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_rise,y=idx2[-1],0.198535,0.246637,0.246637,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_fall,x=idx1[0],0.365616,0.0766596,0.0766596,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_fall,x=idx1[0],1.5975422040816325,0.0791905983577984,0.0791905983577984,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_fall,x=idx1[0],2.8294684081632653,0.08140517431374444,0.08140517431374444,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_fall,x=idx1[0],4.061394612244897,0.08345818701863533,0.08345818701863533,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_fall,x=idx1[0],5.29332081632653,0.08529460459761809,0.08529460459761809,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_fall,x=idx1[0],6.525247020408163,0.08713102217660083,0.08713102217660083,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_fall,x=idx1[0],7.7571732244897955,0.08893879189166905,0.08893879189166905,0.0
B_continuity_at_edges,DFF_X1,CK->Q,cell_fall,x=idx1[0],8.989099428571427,0.09056250835930464,0.09056250835930464,0.0
