subtest,cell,arc,lut,border,eps,v_inside,v_outside,rel_jump
C_clamp_transition,INV_X1,A->ZN,rise_transition,load_low,1e-06,0.017508815790405488,0.01750901397378496,1.1318934336789122e-05
C_clamp_transition,INV_X1,A->ZN,rise_transition,load_low,1e-09,0.017508815790405488,0.017508815988588864,1.1319062127860512e-08
C_clamp_transition,INV_X1,A->ZN,rise_transition,load_low,1e-12,0.017508815790405488,0.01750881579060367,1.1318969321491812e-11
C_clamp_transition,INV_X1,A->ZN,rise_transition,load_high,0.001,0.14103117574009955,0.14115952536417703,0.0009092523068943109
C_clamp_transition,INV_X1,A->ZN,rise_transition,load_high,1e-06,0.141159397014553,0.14115952536417703,9.092523066292596e-07
C_clamp_transition,INV_X1,A->ZN,rise_transition,load_high,1e-09,0.14115952523582742,0.14115952536417703,9.092521980919313e-10
C_clamp_transition,INV_X1,A->ZN,rise_transition,load_high,1e-12,0.1411595253640487,0.14115952536417703,9.091967496742393e-13
C_clamp_transition,INV_X1,A->ZN,fall_transition,slew_low,0.001,0.03327309522471266,0.03327284171163392,7.619161278076658e-06
C_clamp_transition,INV_X1,A->ZN,fall_transition,slew_low,1e-06,0.03327309522471266,0.03327309497119959,7.619161064945012e-09
C_clamp_transition,INV_X1,A->ZN,fall_transition,slew_low,1e-09,0.03327309522471266,0.03327309522445915,7.619143547275435e-12
C_clamp_transition,INV_X1,A->ZN,fall_transition,slew_low,1e-12,0.03327309522471266,0.03327309522471241,7.507572675569062e-15
C_clamp_transition,INV_X1,A->ZN,fall_transition,slew_high,0.001,0.07131479632045347,0.07135762671104232,0.0006002216239938203
C_clamp_transition,INV_X1,A->ZN,fall_transition,slew_high,1e-06,0.07135758388065172,0.07135762671104232,6.002216240838657e-07
C_clamp_transition,INV_X1,A->ZN,fall_transition,slew_high,1e-09,0.07135762666821194,0.07135762671104232,6.002214494388553e-10
C_clamp_transition,INV_X1,A->ZN,fall_transition,slew_high,1e-12,0.07135762671099949,0.07135762671104232,6.001720509615565e-13
C_clamp_transition,INV_X1,A->ZN,fall_transition,load_low,0.001,0.01630837821740668,0.016434616502506175,0.007681243129722122
C_clamp_transition,INV_X1,A->ZN,fall_transition,load_low,1e-06,0.01630837821740668,0.016308504455691784,7.740641420924096e-06
C_clamp_transition,INV_X1,A->ZN,fall_transition,load_low,1e-09,0.01630837821740668,0.01630837834364497,7.740701406643144e-09
C_clamp_transition,INV_X1,A->ZN,fall_transition,load_low,1e-12,0.01630837821740668,0.016308378217532917,7.740550633729957e-12
C_clamp_transition,INV_X1,A->ZN,fall_transition,load_high,0.001,0.07147278937481791,0.07151826375289784,0.000635842869970254
C_clamp_transition,INV_X1,A->ZN,fall_transition,load_high,1e-06,0.07151821827851977,0.07151826375289784,6.358428698128832e-07
C_clamp_transition,INV_X1,A->ZN,fall_transition,load_high,1e-09,0.07151826370742345,0.07151826375289784,6.358430106898204e-10
C_clamp_transition,INV_X1,A->ZN,fall_transition,load_high,1e-12,0.07151826375285236,0.07151826375289784,6.358866708976178e-13
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,slew_low,0.001,0.09817412619742677,0.0982435333167959,0.0007064802845121935
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,slew_low,1e-06,0.09817412619742677,0.09817419560454614,7.069792519705444e-07
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,slew_low,1e-09,0.09817412619742677,0.09817412626683389,7.069797469086139e-10
